date,region,category,units,sales,profit
2024-01,North,Technology,233,13441.34,2419.44
2024-01,North,Office Supplies,118,8046.71,1770.28
2024-01,North,Furniture,110,8741.09,-349.64
2024-01,North,Accessories,77,5542.19,1662.66
2024-01,South,Technology,185,10789.11,1942.04
2024-01,South,Office Supplies,86,6632.41,1459.13
2024-01,South,Furniture,111,8132.09,-325.28
2024-01,South,Accessories,94,4626.23,1387.87
2024-01,East,Technology,288,12265.5,2207.79
2024-01,East,Office Supplies,112,7368.95,1621.17
2024-01,East,Furniture,164,8900.17,-356.01
2024-01,East,Accessories,70,5366.76,1610.03
2024-01,West,Technology,293,14029.92,2525.39
2024-01,West,Office Supplies,207,8668.28,1907.02
2024-01,West,Furniture,164,11067.45,-442.7
2024-01,West,Accessories,86,6770.99,2031.3
2024-02,North,Technology,260,14284.84,2571.27
2024-02,North,Office Supplies,187,8914.79,1961.25
2024-02,North,Furniture,185,10977.78,-439.11
2024-02,North,Accessories,87,5836.97,1751.09
2024-02,South,Technology,171,12595.94,2267.27
2024-02,South,Office Supplies,124,6539.66,1438.73
2024-02,South,Furniture,120,8682.53,-347.3
2024-02,South,Accessories,98,5059.43,1517.83
2024-02,East,Technology,309,14098.52,2537.73
2024-02,East,Office Supplies,201,8133.86,1789.45
2024-02,East,Furniture,153,10222.81,-408.91
2024-02,East,Accessories,71,5094.43,1528.33
2024-02,West,Technology,248,15623.85,2812.29
2024-02,West,Office Supplies,206,9223.77,2029.23
2024-02,West,Furniture,194,11431.78,-457.27
2024-02,West,Accessories,85,6022.59,1806.78
2024-03,North,Technology,259,16106.66,2899.2
2024-03,North,Office Supplies,186,9701.75,2134.39
2024-03,North,Furniture,203,11712.86,-468.51
2024-03,North,Accessories,124,6988.34,2096.5
2024-03,South,Technology,244,12051.81,2169.33
2024-03,South,Office Supplies,140,7192.94,1582.45
2024-03,South,Furniture,148,9871.69,-394.87
2024-03,South,Accessories,74,5298.41,1589.52
2024-03,East,Technology,267,15045.11,2708.12
2024-03,East,Office Supplies,186,8690.64,1911.94
2024-03,East,Furniture,243,10638.71,-425.55
2024-03,East,Accessories,95,5608.49,1682.55
2024-03,West,Technology,281,16910.89,3043.96
2024-03,West,Office Supplies,153,10443.36,2297.54
2024-03,West,Furniture,245,13571.76,-542.87
2024-03,West,Accessories,108,7066.26,2119.88
2024-04,North,Technology,341,14876.99,2677.86
2024-04,North,Office Supplies,113,8889.5,1955.69
2024-04,North,Furniture,186,12712.38,-508.5
2024-04,North,Accessories,85,6740.51,2022.15
2024-04,South,Technology,192,13253.7,2385.67
2024-04,South,Office Supplies,146,7457.65,1640.68
2024-04,South,Furniture,125,9578.41,-383.14
2024-04,South,Accessories,123,5927.51,1778.25
2024-04,East,Technology,244,15440.23,2779.24
2024-04,East,Office Supplies,113,8465.07,1862.32
2024-04,East,Furniture,164,11334.84,-453.39
2024-04,East,Accessories,97,6357.53,1907.26
2024-04,West,Technology,299,19793.06,3562.75
2024-04,West,Office Supplies,174,9886.73,2175.08
2024-04,West,Furniture,229,13721.97,-548.88
2024-04,West,Accessories,172,7901.0,2370.3
2024-05,North,Technology,281,17856.74,3214.21
2024-05,North,Office Supplies,119,9208.14,2025.79
2024-05,North,Furniture,223,12023.66,-480.95
2024-05,North,Accessories,173,7100.44,2130.13
2024-05,South,Technology,206,12245.6,2204.21
2024-05,South,Office Supplies,184,7982.04,1756.05
2024-05,South,Furniture,189,11279.94,-451.2
2024-05,South,Accessories,91,5735.34,1720.6
2024-05,East,Technology,256,13014.16,2342.55
2024-05,East,Office Supplies,136,8280.57,1821.73
2024-05,East,Furniture,263,10781.33,-431.25
2024-05,East,Accessories,87,6615.68,1984.7
2024-05,West,Technology,285,17737.35,3192.72
2024-05,West,Office Supplies,140,9396.57,2067.25
2024-05,West,Furniture,193,13387.51,-535.5
2024-05,West,Accessories,169,7519.91,2255.97
2024-06,North,Technology,307,15141.39,2725.45
2024-06,North,Office Supplies,137,8577.99,1887.16
2024-06,North,Furniture,180,13201.8,-528.07
2024-06,North,Accessories,129,6830.95,2049.28
2024-06,South,Technology,261,13484.83,2427.27
2024-06,South,Office Supplies,146,7379.74,1623.54
2024-06,South,Furniture,197,9201.95,-368.08
2024-06,South,Accessories,90,5175.99,1552.8
2024-06,East,Technology,173,13101.96,2358.35
2024-06,East,Office Supplies,119,9061.76,1993.59
2024-06,East,Furniture,173,10566.74,-422.67
2024-06,East,Accessories,89,6375.8,1912.74
2024-06,West,Technology,302,16608.16,2989.47
2024-06,West,Office Supplies,145,10188.53,2241.48
2024-06,West,Furniture,166,12911.41,-516.46
2024-06,West,Accessories,145,6512.57,1953.77
2024-07,North,Technology,344,15876.01,2857.68
2024-07,North,Office Supplies,128,8200.03,1804.01
2024-07,North,Furniture,192,10074.23,-402.97
2024-07,North,Accessories,78,6226.4,1867.92
2024-07,South,Technology,257,11768.38,2118.31
2024-07,South,Office Supplies,142,7006.09,1541.34
2024-07,South,Furniture,132,8876.99,-355.08
2024-07,South,Accessories,71,4301.63,1290.49
2024-07,East,Technology,196,12418.23,2235.28
2024-07,East,Office Supplies,100,7227.98,1590.16
2024-07,East,Furniture,148,10349.1,-413.96
2024-07,East,Accessories,121,5460.02,1638.01
2024-07,West,Technology,289,16156.06,2908.09
2024-07,West,Office Supplies,150,8975.99,1974.72
2024-07,West,Furniture,155,12152.08,-486.08
2024-07,West,Accessories,84,6479.37,1943.81
2024-08,North,Technology,208,12951.08,2331.19
2024-08,North,Office Supplies,174,7738.78,1702.53
2024-08,North,Furniture,174,9899.01,-395.96
2024-08,North,Accessories,98,6295.95,1888.78
2024-08,South,Technology,141,10190.74,1834.33
2024-08,South,Office Supplies,80,5715.21,1257.35
2024-08,South,Furniture,185,8207.99,-328.32
2024-08,South,Accessories,59,4279.48,1283.84
2024-08,East,Technology,169,10396.46,1871.36
2024-08,East,Office Supplies,87,6517.74,1433.9
2024-08,East,Furniture,179,10137.9,-405.52
2024-08,East,Accessories,71,4710.89,1413.27
2024-08,West,Technology,220,12810.48,2305.89
2024-08,West,Office Supplies,190,9421.04,2072.63
