Date,City,Category,Product,Quantity,UnitPrice,Sales,PaymentMethod
2025-12-11,Hyderabad,Snacks,Samosa,3,40,120,UPI
2025-01-21,Mumbai,Cold Drinks,Cola,1,90,90,Card
2025-02-17,Hyderabad,Tea,Lemon Tea,1,90,90,UPI
2025-09-20,Mumbai,Tea,Green Tea,2,100,200,Card
2025-07-05,Pune,Cold Drinks,Cola,2,90,180,Cash
2025-06-20,Mumbai,Coffee,Cold Brew,2,220,440,UPI
2025-06-12,Bengaluru,Tea,Lemon Tea,2,90,180,Cash
2025-10-28,Hyderabad,Tea,Masala Chai,2,80,160,UPI
2025-12-29,Bengaluru,Coffee,Cold Brew,3,220,660,UPI
2025-09-21,Mumbai,Coffee,Latte,3,200,600,UPI
2025-07-14,Mumbai,Snacks,Sandwich,2,180,360,Card
2025-09-16,Hyderabad,Bakery,Muffin,1,120,120,UPI
2025-09-23,Delhi,Cold Drinks,Cola,2,90,180,Card
2025-02-09,Bengaluru,Coffee,Latte,1,200,200,UPI
2025-05-20,Pune,Coffee,Latte,3,200,600,Card
2025-06-10,Hyderabad,Bakery,Muffin,3,120,360,UPI
2025-07-24,Delhi,Coffee,Espresso,2,120,240,UPI
2025-05-29,Pune,Coffee,Espresso,3,120,360,UPI
2025-07-01,Pune,Bakery,Muffin,1,120,120,Card
2025-06-26,Pune,Snacks,Fries,2,120,240,UPI
2025-07-25,Bengaluru,Snacks,Sandwich,2,180,360,UPI
2025-05-18,Pune,Bakery,Muffin,2,120,240,UPI
2025-12-25,Delhi,Coffee,Latte,1,200,200,Cash
2025-07-27,Delhi,Tea,Green Tea,1,100,100,Card
2025-01-21,Bengaluru,Coffee,Cold Brew,1,220,220,UPI
2025-06-01,Pune,Bakery,Cookie,2,60,120,UPI
2025-06-08,Pune,Coffee,Espresso,2,120,240,Card
2025-11-12,Mumbai,Tea,Green Tea,3,100,300,Cash
2025-12-31,Bengaluru,Snacks,Sandwich,1,180,180,Card
2025-09-29,Pune,Coffee,Cold Brew,2,220,440,Card
2025-12-21,Bengaluru,Bakery,Muffin,3,120,360,UPI
2025-02-01,Hyderabad,Coffee,Espresso,1,120,120,UPI
2025-02-08,Bengaluru,Coffee,Cappuccino,3,180,540,Card
2025-12-27,Mumbai,Coffee,Espresso,3,120,360,UPI
2025-03-15,Pune,Tea,Lemon Tea,2,90,180,Cash
2025-10-08,Hyderabad,Bakery,Cookie,2,60,120,Cash
2025-05-17,Delhi,Snacks,Sandwich,1,180,180,UPI
2025-03-01,Delhi,Snacks,Fries,1,120,120,Card
2025-09-06,Hyderabad,Bakery,Croissant,2,150,300,Cash
2025-04-19,Mumbai,Coffee,Latte,1,200,200,UPI
2025-06-21,Mumbai,Snacks,Fries,3,120,360,UPI
2025-09-30,Hyderabad,Tea,Masala Chai,2,80,160,Card
2025-05-18,Mumbai,Snacks,Fries,2,120,240,Card
2025-05-31,Hyderabad,Coffee,Latte,1,200,200,UPI
2025-01-02,Hyderabad,Cold Drinks,Cola,3,90,270,UPI
2025-12-02,Pune,Cold Drinks,Cola,3,90,270,UPI
2025-10-25,Pune,Coffee,Espresso,1,120,120,UPI
2025-04-05,Mumbai,Coffee,Cold Brew,1,220,220,Card
2025-03-31,Bengaluru,Bakery,Croissant,1,150,150,Card
2025-02-02,Bengaluru,Coffee,Latte,3,200,600,UPI
2025-08-23,Pune,Bakery,Croissant,2,150,300,UPI
2025-10-05,Delhi,Coffee,Espresso,3,120,360,Cash
2025-11-25,Pune,Coffee,Latte,2,200,400,UPI
2025-02-25,Bengaluru,Bakery,Croissant,3,150,450,UPI
2025-08-30,Pune,Cold Drinks,Iced Tea,1,140,140,Card
2025-10-02,Pune,Coffee,Latte,2,200,400,Card
2025-04-07,Hyderabad,Coffee,Cappuccino,2,180,360,Card
2025-11-30,Pune,Cold Drinks,Smoothie,1,250,250,Card
2025-04-25,Pune,Snacks,Sandwich,1,180,180,UPI
2025-06-29,Hyderabad,Coffee,Espresso,2,120,240,Cash
2025-11-23,Mumbai,Coffee,Cold Brew,2,220,440,Card
2025-08-06,Bengaluru,Coffee,Cold Brew,1,220,220,Card
2025-09-06,Pune,Coffee,Cappuccino,2,180,360,UPI
2025-04-19,Mumbai,Coffee,Espresso,1,120,120,UPI
2025-08-06,Bengaluru,Cold Drinks,Cola,2,90,180,UPI
2025-03-02,Bengaluru,Cold Drinks,Cola,1,90,90,UPI
2025-11-05,Bengaluru,Coffee,Latte,3,200,600,UPI
2025-11-04,Mumbai,Cold Drinks,Smoothie,2,250,500,UPI
2025-01-08,Delhi,Snacks,Fries,2,120,240,Card
2025-06-15,Bengaluru,Bakery,Croissant,3,150,450,Card
2025-11-07,Hyderabad,Coffee,Latte,1,200,200,UPI
2025-12-11,Hyderabad,Coffee,Cappuccino,1,180,180,UPI
2025-03-19,Hyderabad,Snacks,Samosa,1,40,40,UPI
2025-01-21,Hyderabad,Bakery,Croissant,3,150,450,Cash
2025-08-21,Pune,Cold Drinks,Iced Tea,3,140,420,UPI
2025-04-24,Hyderabad,Coffee,Cold Brew,3,220,660,Card
2025-04-28,Hyderabad,Tea,Masala Chai,2,80,160,UPI
2025-06-23,Bengaluru,Cold Drinks,Smoothie,2,250,500,UPI
2025-12-20,Delhi,Bakery,Cookie,2,60,120,Card
2025-04-03,Pune,Coffee,Cold Brew,1,220,220,Card
2025-12-04,Pune,Coffee,Cappuccino,3,180,540,Card
2025-05-17,Pune,Coffee,Cappuccino,1,180,180,Cash
2025-02-09,Bengaluru,Coffee,Latte,2,200,400,UPI
2025-12-05,Hyderabad,Coffee,Cappuccino,3,180,540,UPI
2025-11-05,Hyderabad,Coffee,Cappuccino,2,180,360,UPI
2025-02-10,Mumbai,Coffee,Cappuccino,3,180,540,UPI
2025-09-24,Bengaluru,Snacks,Sandwich,3,180,540,Cash
2025-08-29,Mumbai,Coffee,Latte,1,200,200,UPI
2025-06-05,Bengaluru,Tea,Lemon Tea,1,90,90,UPI
2025-07-27,Pune,Tea,Lemon Tea,1,90,90,Card
2025-11-08,Mumbai,Tea,Lemon Tea,1,90,90,UPI
2025-09-15,Hyderabad,Tea,Lemon Tea,2,90,180,Card
2025-03-08,Pune,Coffee,Cappuccino,1,180,180,UPI
2025-07-18,Pune,Snacks,Sandwich,1,180,180,Cash
2025-10-29,Mumbai,Tea,Green Tea,2,100,200,Cash
2025-10-17,Bengaluru,Coffee,Cappuccino,2,180,360,UPI
2025-07-07,Mumbai,Tea,Lemon Tea,3,90,270,Card
2025-10-16,Pune,Cold Drinks,Cola,3,90,270,Card
2025-09-13,Hyderabad,Bakery,Muffin,1,120,120,UPI
2025-01-30,Hyderabad,Coffee,Cappuccino,3,180,540,Card
2025-12-21,Mumbai,Snacks,Samosa,1,40,40,UPI
2025-04-12,Bengaluru,Snacks,Samosa,2,40,80,Card
