order_id,order_date,customer_name,city,segment,product_name,category,unit_price,quantity,revenue
594,2024-01-01,Customer 035,Delhi,Consumer,Whiteboard,Office Supplies,2000,4,8000
595,2024-01-01,Customer 034,Delhi,Corporate,Pen Set,Office Supplies,150,3,450
724,2024-01-01,Customer 022,Pune,Corporate,Smartphone,Technology,30000,4,120000
48,2024-01-02,Customer 038,Delhi,Small Business,Filing Cabinet,Furniture,9000,5,45000
166,2024-01-02,Customer 036,Delhi,Corporate,Office Chair,Furniture,8000,2,16000
261,2024-01-02,Customer 020,Hyderabad,Consumer,Filing Cabinet,Furniture,9000,1,9000
473,2024-01-02,Customer 003,Mumbai,Consumer,Monitor,Technology,12000,3,36000
763,2024-01-02,Customer 001,Bengaluru,Consumer,Headphones,Technology,2500,1,2500
190,2024-01-03,Customer 015,Bengaluru,Consumer,Printer Paper,Office Supplies,300,5,1500
607,2024-01-03,Customer 018,Mumbai,Corporate,Whiteboard,Office Supplies,2000,5,10000
278,2024-01-05,Customer 027,Delhi,Small Business,Whiteboard,Office Supplies,2000,1,2000
306,2024-01-06,Customer 010,Pune,Consumer,Stapler,Office Supplies,250,4,1000
202,2024-01-07,Customer 018,Mumbai,Corporate,Whiteboard,Office Supplies,2000,2,4000
574,2024-01-07,Customer 013,Mumbai,Corporate,Pen Set,Office Supplies,150,1,150
592,2024-01-07,Customer 033,Bengaluru,Corporate,Filing Cabinet,Furniture,9000,3,27000
722,2024-01-07,Customer 031,Mumbai,Corporate,Smartphone,Technology,30000,2,60000
791,2024-01-07,Customer 021,Delhi,Corporate,Monitor,Technology,12000,1,12000
3,2024-01-08,Customer 003,Mumbai,Consumer,Notebook,Office Supplies,80,3,240
347,2024-01-08,Customer 029,Pune,Consumer,Filing Cabinet,Furniture,9000,5,45000
751,2024-01-08,Customer 006,Pune,Corporate,Bookshelf,Furniture,6000,1,6000
523,2024-01-09,Customer 024,Hyderabad,Small Business,Pen Set,Office Supplies,150,2,300
94,2024-01-10,Customer 019,Bengaluru,Consumer,Headphones,Technology,2500,4,10000
230,2024-01-10,Customer 023,Bengaluru,Small Business,Desk,Furniture,15000,4,60000
120,2024-01-12,Customer 020,Hyderabad,Consumer,Notebook,Office Supplies,80,4,320
141,2024-01-12,Customer 035,Delhi,Consumer,Bookshelf,Furniture,6000,3,18000
341,2024-01-12,Customer 019,Bengaluru,Consumer,Smartphone,Technology,30000,1,30000
358,2024-01-12,Customer 020,Hyderabad,Consumer,Monitor,Technology,12000,2,24000
479,2024-01-12,Customer 022,Pune,Corporate,Printer Paper,Office Supplies,300,1,300
740,2024-01-12,Customer 021,Delhi,Corporate,Monitor,Technology,12000,4,48000
636,2024-01-13,Customer 022,Pune,Corporate,Stapler,Office Supplies,250,4,1000
720,2024-01-13,Customer 020,Hyderabad,Consumer,Pen Set,Office Supplies,150,2,300
794,2024-01-13,Customer 029,Pune,Consumer,Whiteboard,Office Supplies,2000,5,10000
554,2024-01-15,Customer 039,Bengaluru,Small Business,Printer Paper,Office Supplies,300,1,300
505,2024-01-18,Customer 011,Pune,Consumer,Bookshelf,Furniture,6000,4,24000
765,2024-01-18,Customer 027,Delhi,Small Business,Headphones,Technology,2500,3,7500
247,2024-01-19,Customer 024,Hyderabad,Small Business,Pen Set,Office Supplies,150,2,300
